id,year,term,r1,r2,r3,r4,r5,b1,b2,ball,date,real_date,d1,d2,d3,d4,d5,d6,d7,d8,d9,d10
11030,2011,30,19,33,15,25,30,8,3,1,20110316,2011-03-16,2011-08-19,2011-09-02,2011-08-15,2011-08-25,2011-08-30,2011-03-18,2011-04-01,2011-03-14,2011-03-24,2011-03-29
11031,2011,31,19,17,35,12,22,11,4,2,20110319,2011-03-19,2011-11-18,2011-11-16,2011-12-04,2011-11-11,2011-11-21,2011-04-15,2011-04-13,2011-05-01,2011-04-08,2011-04-18
11032,2011,32,16,31,33,7,23,3,10,2,20110321,2011-03-21,2011-03-15,2011-03-30,2011-04-01,2011-03-06,2011-03-22,2011-10-11,2011-10-26,2011-10-28,2011-10-02,2011-10-18
11033,2011,33,29,33,3,19,24,3,9,1,20110323,2011-03-23,2011-03-28,2011-04-01,2011-03-02,2011-03-18,2011-03-23,2011-09-26,2011-09-30,2011-08-31,2011-09-16,2011-09-21
11034,2011,34,9,3,27,17,6,9,3,2,20110326,2011-03-26,2011-09-06,2011-08-31,2011-09-24,2011-09-14,2011-09-03,2011-03-08,2011-03-02,2011-03-26,2011-03-16,2011-03-05
11035,2011,35,4,3,15,13,32,4,9,3,20110328,2011-03-28,2011-03-31,2011-03-30,2011-04-11,2011-04-09,2011-04-28,2011-09-01,2011-08-31,2011-09-12,2011-09-10,2011-09-29
11036,2011,36,30,18,33,3,29,8,9,1,20110330,2011-03-30,2011-08-30,2011-08-18,2011-09-02,2011-08-03,2011-08-29,2011-09-27,2011-09-15,2011-09-30,2011-08-31,2011-09-26
11037,2011,37,14,12,22,1,24,12,10,3,20110402,2011-04-02,2011-12-11,2011-12-09,2011-12-19,2011-11-28,2011-12-21,2011-10-09,2011-10-07,2011-10-17,2011-09-26,2011-10-19
11038,2011,38,9,33,13,11,7,10,12,1,20110404,2011-04-04,2011-10-04,2011-10-28,2011-10-08,2011-10-06,2011-10-02,2011-12-06,2011-12-30,2011-12-10,2011-12-08,2011-12-04
11039,2011,39,14,34,11,22,1,6,8,3,20110406,2011-04-06,2011-06-12,2011-07-02,2011-06-09,2011-06-20,2011-05-30,2011-08-14,2011-09-03,2011-08-11,2011-08-22,2011-08-01
11040,2011,40,7,18,20,15,3,1,6,2,20110409,2011-04-09,2011-01-02,2011-01-13,2011-01-15,2011-01-10,2010-12-29,2011-06-05,2011-06-16,2011-06-18,2011-06-13,2011-06-01
11041,2011,41,25,11,13,4,5,3,6,3,20110411,2011-04-11,2011-03-24,2011-03-10,2011-03-12,2011-03-03,2011-03-04,2011-06-23,2011-06-09,2011-06-11,2011-06-02,2011-06-03
11042,2011,42,6,30,9,18,32,10,12,2,20110413,2011-04-13,2011-10-01,2011-10-25,2011-10-04,2011-10-13,2011-10-27,2011-12-03,2011-12-27,2011-12-06,2011-12-15,2011-12-29
11043,2011,43,2,33,23,35,8,5,10,2,20110416,2011-04-16,2011-04-26,2011-05-27,2011-05-17,2011-05-29,2011-05-02,2011-09-27,2011-10-28,2011-10-18,2011-10-30,2011-10-03
11044,2011,44,21,11,26,24,31,7,6,2,20110418,2011-04-18,2011-07-17,2011-07-07,2011-07-22,2011-07-20,2011-07-27,2011-06-19,2011-06-09,2011-06-24,2011-06-22,2011-06-29
11045,2011,45,31,13,21,22,29,11,7,1,20110420,2011-04-20,2011-11-30,2011-11-12,2011-11-20,2011-11-21,2011-11-28,2011-07-27,2011-07-09,2011-07-17,2011-07-18,2011-07-25
11046,2011,46,29,16,19,15,9,6,4,1,20110423,2011-04-23,2011-06-27,2011-06-14,2011-06-17,2011-06-13,2011-06-07,2011-04-25,2011-04-12,2011-04-15,2011-04-11,2011-04-05
11047,2011,47,22,35,15,33,2,5,8,2,20110425,2011-04-25,2011-05-16,2011-05-29,2011-05-09,2011-05-27,2011-04-26,2011-08-22,2011-09-04,2011-08-15,2011-09-02,2011-08-02
11048,2011,48,28,27,17,25,13,3,2,1,20110427,2011-04-27,2011-03-27,2011-03-26,2011-03-16,2011-03-24,2011-03-12,2011-02-27,2011-02-26,2011-02-16,2011-02-24,2011-02-12
11049,2011,49,22,6,25,10,5,9,1,1,20110430,2011-04-30,2011-09-19,2011-09-03,2011-09-22,2011-09-07,2011-09-02,2011-01-17,2011-01-01,2011-01-20,2011-01-05,2010-12-31
11050,2011,50,33,4,29,32,7,10,8,1,20110502,2011-05-02,2011-10-28,2011-09-29,2011-10-24,2011-10-27,2011-10-02,2011-09-02,2011-08-04,2011-08-29,2011-09-01,2011-08-07
11051,2011,51,8,18,17,6,12,5,10,3,20110504,2011-05-04,2011-05-02,2011-05-12,2011-05-11,2011-04-30,2011-05-06,2011-10-03,2011-10-13,2011-10-12,2011-10-01,2011-10-07
11052,2011,52,32,13,24,31,33,3,9,2,20110507,2011-05-07,2011-03-31,2011-03-12,2011-03-23,2011-03-30,2011-04-01,2011-09-29,2011-09-10,2011-09-21,2011-09-28,2011-09-30
11053,2011,53,16,3,32,28,31,9,1,2,20110509,2011-05-09,2011-09-13,2011-08-31,2011-09-29,2011-09-25,2011-09-28,2011-01-11,2010-12-29,2011-01-27,2011-01-23,2011-01-26
11054,2011,54,26,35,16,9,5,10,3,3,20110511,2011-05-11,2011-10-21,2011-10-30,2011-10-11,2011-10-04,2011-09-30,2011-03-25,2011-04-03,2011-03-15,2011-03-08,2011-03-04
11055,2011,55,7,35,31,32,1,10,2,1,20110514,2011-05-14,2011-10-02,2011-10-30,2011-10-26,2011-10-27,2011-09-26,2011-02-06,2011-03-06,2011-03-02,2011-03-03,2011-01-31
11056,2011,56,5,3,31,29,30,10,8,1,20110516,2011-05-16,2011-09-30,2011-09-28,2011-10-26,2011-10-24,2011-10-25,2011-08-05,2011-08-03,2011-08-31,2011-08-29,2011-08-30
11057,2011,57,7,31,34,30,11,9,12,3,20110518,2011-05-18,2011-09-04,2011-09-28,2011-10-01,2011-09-27,2011-09-08,2011-12-04,2011-12-28,2011-12-31,2011-12-27,2011-12-08
11058,2011,58,1,33,32,9,27,3,6,3,20110521,2011-05-21,2011-02-28,2011-04-01,2011-03-31,2011-03-08,2011-03-26,2011-05-30,2011-07-01,2011-06-30,2011-06-07,2011-06-25
11059,2011,59,21,16,29,9,34,7,10,3,20110523,2011-05-23,2011-07-17,2011-07-12,2011-07-25,2011-07-05,2011-07-30,2011-10-16,2011-10-11,2011-10-24,2011-10-04,2011-10-29
11060,2011,60,25,3,34,32,29,10,9,2,20110525,2011-05-25,2011-10-20,2011-09-28,2011-10-29,2011-10-27,2011-10-24,2011-09-22,2011-08-31,2011-10-01,2011-09-29,2011-09-26
11061,2011,61,18,6,7,16,20,10,4,3,20110528,2011-05-28,2011-10-13,2011-10-01,2011-10-02,2011-10-11,2011-10-15,2011-04-14,2011-04-02,2011-04-03,2011-04-12,2011-04-16
11062,2011,62,10,20,6,21,17,7,3,1,20110530,2011-05-30,2011-07-06,2011-07-16,2011-07-02,2011-07-17,2011-07-13,2011-03-09,2011-03-19,2011-03-05,2011-03-20,2011-03-16
11063,2011,63,17,32,10,26,18,5,1,3,20110601,2011-06-01,2011-05-11,2011-05-26,2011-05-04,2011-05-20,2011-05-12,2011-01-12,2011-01-27,2011-01-05,2011-01-21,2011-01-13
11064,2011,64,27,30,1,34,6,1,6,3,20110604,2011-06-04,2011-01-22,2011-01-25,2010-12-27,2011-01-29,2011-01-01,2011-06-25,2011-06-28,2011-05-30,2011-07-02,2011-06-04
11065,2011,65,11,14,3,25,34,1,4,2,20110606,2011-06-06,2011-01-06,2011-01-09,2010-12-29,2011-01-20,2011-01-29,2011-04-07,2011-04-10,2011-03-30,2011-04-21,2011-04-30
11066,2011,66,18,13,33,20,6,10,9,1,20110608,2011-06-08,2011-10-13,2011-10-08,2011-10-28,2011-10-15,2011-10-01,2011-09-15,2011-09-10,2011-09-30,2011-09-17,2011-09-03
11067,2011,67,17,24,10,22,32,10,3,2,20110611,2011-06-11,2011-10-12,2011-10-19,2011-10-05,2011-10-17,2011-10-27,2011-03-16,2011-03-23,2011-03-09,2011-03-21,2011-03-31
11068,2011,68,18,1,16,13,32,9,7,3,20110613,2011-06-13,2011-09-15,2011-08-29,2011-09-13,2011-09-10,2011-09-29,2011-07-14,2011-06-27,2011-07-12,2011-07-09,2011-07-28
11069,2011,69,28,5,29,33,3,4,12,2,20110615,2011-06-15,2011-04-24,2011-04-01,2011-04-25,2011-04-29,2011-03-30,2011-12-25,2011-12-02,2011-12-26,2011-12-30,2011-11-30
11070,2011,70,19,30,22,29,9,2,8,1,20110618,2011-06-18,2011-02-18,2011-03-01,2011-02-21,2011-02-28,2011-02-08,2011-08-19,2011-08-30,2011-08-22,2011-08-29,2011-08-09
11071,2011,71,35,27,31,34,33,6,4,2,20110620,2011-06-20,2011-07-03,2011-06-25,2011-06-29,2011-07-02,2011-07-01,2011-05-01,2011-04-23,2011-04-27,2011-04-30,2011-04-29
11072,2011,72,11,20,35,13,3,3,8,1,20110622,2011-06-22,2011-03-10,2011-03-19,2011-04-03,2011-03-12,2011-03-02,2011-08-11,2011-08-20,2011-09-04,2011-08-13,2011-08-03
11073,2011,73,33,13,20,22,19,11,5,2,20110625,2011-06-25,2011-12-02,2011-11-12,2011-11-19,2011-11-21,2011-11-18,2011-05-27,2011-05-07,2011-05-14,2011-05-16,2011-05-13
11074,2011,74,16,7,28,23,31,6,3,3,20110627,2011-06-27,2011-06-14,2011-06-05,2011-06-26,2011-06-21,2011-06-29,2011-03-15,2011-03-06,2011-03-27,2011-03-22,2011-03-30
11075,2011,75,9,28,23,6,20,10,6,1,20110629,2011-06-29,2011-10-04,2011-10-23,2011-10-18,2011-10-01,2011-10-15,2011-06-07,2011-06-26,2011-06-21,2011-06-04,2011-06-18
11076,2011,76,30,29,18,23,25,1,2,2,20110702,2011-07-02,2011-01-25,2011-01-24,2011-01-13,2011-01-18,2011-01-20,2011-03-01,2011-02-28,2011-02-17,2011-02-22,2011-02-24
11077,2011,77,33,19,5,34,8,12,1,3,20110704,2011-07-04,2011-12-30,2011-12-16,2011-12-02,2011-12-31,2011-12-05,2011-01-28,2011-01-14,2010-12-31,2011-01-29,2011-01-03
11078,2011,78,16,30,9,4,27,2,6,1,20110706,2011-07-06,2011-02-15,2011-03-01,2011-02-08,2011-02-03,2011-02-26,2011-06-14,2011-06-28,2011-06-07,2011-06-02,2011-06-25
11079,2011,79,30,31,23,1,3,10,2,3,20110709,2011-07-09,2011-10-25,2011-10-26,2011-10-18,2011-09-26,2011-09-28,2011-03-01,2011-03-02,2011-02-22,2011-01-31,2011-02-02
11080,2011,80,30,12,31,32,5,3,1,1,20110711,2011-07-11,2011-03-29,2011-03-11,2011-03-30,2011-03-31,2011-03-04,2011-01-25,2011-01-07,2011-01-26,2011-01-27,2010-12-31
11081,2011,81,4,20,13,35,21,9,2,3,20110713,2011-07-13,2011-09-01,2011-09-17,2011-09-10,2011-10-02,2011-09-18,2011-02-03,2011-02-19,2011-02-12,2011-03-06,2011-02-20
11082,2011,82,7,32,30,20,25,5,9,1,20110716,2011-07-16,2011-05-01,2011-05-26,2011-05-24,2011-05-14,2011-05-19,2011-09-04,2011-09-29,2011-09-27,2011-09-17,2011-09-22
11083,2011,83,20,18,24,6,8,8,4,1,20110718,2011-07-18,2011-08-20,2011-08-18,2011-08-24,2011-08-06,2011-08-08,2011-04-16,2011-04-14,2011-04-20,2011-04-02,2011-04-04
11084,2011,84,35,31,29,14,34,12,1,2,20110720,2011-07-20,2012-01-01,2011-12-28,2011-12-26,2011-12-11,2011-12-31,2011-01-30,2011-01-26,2011-01-24,2011-01-09,2011-01-29
11085,2011,85,19,2,21,22,17,3,10,3,20110723,2011-07-23,2011-03-18,2011-03-01,2011-03-20,2011-03-21,2011-03-16,2011-10-14,2011-09-27,2011-10-16,2011-10-17,2011-10-12
11086,2011,86,15,6,4,5,9,6,1,3,20110725,2011-07-25,2011-06-13,2011-06-04,2011-06-02,2011-06-03,2011-06-07,2011-01-10,2011-01-01,2010-12-30,2010-12-31,2011-01-04
11087,2011,87,34,6,25,20,13,7,9,3,20110727,2011-07-27,2011-07-30,2011-07-02,2011-07-21,2011-07-16,2011-07-09,2011-10-01,2011-09-03,2011-09-22,2011-09-17,2011-09-10
11088,2011,88,21,20,27,35,29,8,3,1,20110730,2011-07-30,2011-08-21,2011-08-20,2011-08-27,2011-09-04,2011-08-29,2011-03-20,2011-03-19,2011-03-26,2011-04-03,2011-03-28
11089,2011,89,5,27,34,23,6,4,3,1,20110801,2011-08-01,2011-04-01,2011-04-23,2011-04-30,2011-04-19,2011-04-02,2011-03-04,2011-03-26,2011-04-02,2011-03-22,2011-03-05
11090,2011,90,29,30,34,2,4,8,5,2,20110803,2011-08-03,2011-08-29,2011-08-30,2011-09-03,2011-08-02,2011-08-04,2011-05-23,2011-05-24,2011-05-28,2011-04-26,2011-04-28
11091,2011,91,29,30,11,17,23,8,6,1,20110806,2011-08-06,2011-08-29,2011-08-30,2011-08-11,2011-08-17,2011-08-23,2011-06-27,2011-06-28,2011-06-09,2011-06-15,2011-06-21
11092,2011,92,32,19,33,10,17,12,1,2,20110808,2011-08-08,2011-12-29,2011-12-16,2011-12-30,2011-12-07,2011-12-14,2011-01-27,2011-01-14,2011-01-28,2011-01-05,2011-01-12
11093,2011,93,31,19,8,4,6,11,10,3,20110810,2011-08-10,2011-11-30,2011-11-18,2011-11-07,2011-11-03,2011-11-05,2011-10-26,2011-10-14,2011-10-03,2011-09-29,2011-10-01
11094,2011,94,21,11,22,34,32,8,4,2,20110813,2011-08-13,2011-08-21,2011-08-11,2011-08-22,2011-09-03,2011-09-01,2011-04-17,2011-04-07,2011-04-18,2011-04-30,2011-04-28
11095,2011,95,12,29,19,9,17,6,11,3,20110815,2011-08-15,2011-06-10,2011-06-27,2011-06-17,2011-06-07,2011-06-15,2011-11-11,2011-11-28,2011-11-18,2011-11-08,2011-11-16
11096,2011,96,8,25,24,3,20,1,2,3,20110817,2011-08-17,2011-01-03,2011-01-20,2011-01-19,2010-12-29,2011-01-15,2011-02-07,2011-02-24,2011-02-23,2011-02-02,2011-02-19
11097,2011,97,31,28,33,4,19,11,12,3,20110820,2011-08-20,2011-11-30,2011-11-27,2011-12-02,2011-11-03,2011-11-18,2011-12-28,2011-12-25,2011-12-30,2011-12-01,2011-12-16
11098,2011,98,28,35,33,6,7,10,1,1,20110822,2011-08-22,2011-10-23,2011-10-30,2011-10-28,2011-10-01,2011-10-02,2011-01-23,2011-01-30,2011-01-28,2011-01-01,2011-01-02
11099,2011,99,6,9,12,20,2,8,5,1,20110824,2011-08-24,2011-08-06,2011-08-09,2011-08-12,2011-08-20,2011-08-02,2011-04-30,2011-05-03,2011-05-06,2011-05-14,2011-04-26
11100,2011,100,28,8,33,11,13,8,9,1,20110827,2011-08-27,2011-08-28,2011-08-08,2011-09-02,2011-08-11,2011-08-13,2011-09-25,2011-09-05,2011-09-30,2011-09-08,2011-09-10
11101,2011,101,28,30,20,12,5,3,7,1,20110829,2011-08-29,2011-03-27,2011-03-29,2011-03-19,2011-03-11,2011-03-04,2011-07-24,2011-07-26,2011-07-16,2011-07-08,2011-07-01
11102,2011,102,34,19,31,28,24,4,12,2,20110831,2011-08-31,2011-04-30,2011-04-15,2011-04-27,2011-04-24,2011-04-20,2011-12-31,2011-12-16,2011-12-28,2011-12-25,2011-12-21
11103,2011,103,29,34,26,4,3,3,1,2,20110903,2011-09-03,2011-03-28,2011-04-02,2011-03-25,2011-03-03,2011-03-02,2011-01-24,2011-01-29,2011-01-21,2010-12-30,2010-12-29
11104,2011,104,7,28,27,34,19,2,5,1,20110905,2011-09-05,2011-02-06,2011-02-27,2011-02-26,2011-03-05,2011-02-18,2011-05-01,2011-05-22,2011-05-21,2011-05-28,2011-05-13
11105,2011,105,32,33,26,11,2,5,12,3,20110907,2011-09-07,2011-05-26,2011-05-27,2011-05-20,2011-05-05,2011-04-26,2011-12-29,2011-12-30,2011-12-23,2011-12-08,2011-11-29
11106,2011,106,1,9,30,29,35,5,9,2,20110910,2011-09-10,2011-04-25,2011-05-03,2011-05-24,2011-05-23,2011-05-29,2011-08-29,2011-09-06,2011-09-27,2011-09-26,2011-10-02
11107,2011,107,30,18,6,32,2,1,8,1,20110912,2011-09-12,2011-01-25,2011-01-13,2011-01-01,2011-01-27,2010-12-28,2011-08-30,2011-08-18,2011-08-06,2011-09-01,2011-08-02
11108,2011,108,28,24,18,7,15,1,7,3,20110914,2011-09-14,2011-01-23,2011-01-19,2011-01-13,2011-01-02,2011-01-10,2011-07-24,2011-07-20,2011-07-14,2011-07-03,2011-07-11
11109,2011,109,34,1,22,12,11,10,8,2,20110917,2011-09-17,2011-10-29,2011-09-26,2011-10-17,2011-10-07,2011-10-06,2011-09-03,2011-08-01,2011-08-22,2011-08-12,2011-08-11
11110,2011,110,35,31,34,33,30,4,7,2,20110919,2011-09-19,2011-05-01,2011-04-27,2011-04-30,2011-04-29,2011-04-26,2011-07-31,2011-07-27,2011-07-30,2011-07-29,2011-07-26
11111,2011,111,11,31,2,23,13,12,11,1,20110921,2011-09-21,2011-12-08,2011-12-28,2011-11-29,2011-12-20,2011-12-10,2011-11-10,2011-11-30,2011-11-01,2011-11-22,2011-11-12
11112,2011,112,28,6,17,32,33,12,8,1,20110924,2011-09-24,2011-12-25,2011-12-03,2011-12-14,2011-12-29,2011-12-30,2011-08-28,2011-08-06,2011-08-17,2011-09-01,2011-09-02
11113,2011,113,5,7,12,10,4,4,5,2,20110926,2011-09-26,2011-04-01,2011-04-03,2011-04-08,2011-04-06,2011-03-31,2011-04-29,2011-05-01,2011-05-06,2011-05-04,2011-04-28
11114,2011,114,27,17,35,6,8,11,2,3,20110928,2011-09-28,2011-11-26,2011-11-16,2011-12-04,2011-11-05,2011-11-07,2011-02-26,2011-02-16,2011-03-06,2011-02-05,2011-02-07
11115,2011,115,17,31,35,30,26,6,11,2,20111001,2011-10-01,2011-06-15,2011-06-29,2011-07-03,2011-06-28,2011-06-24,2011-11-16,2011-11-30,2011-12-04,2011-11-29,2011-11-25
11116,2011,116,26,18,10,19,15,7,12,2,20111003,2011-10-03,2011-07-22,2011-07-14,2011-07-06,2011-07-15,2011-07-11,2011-12-23,2011-12-15,2011-12-07,2011-12-16,2011-12-12
11117,2011,117,10,28,33,32,12,5,3,3,20111005,2011-10-05,2011-05-04,2011-05-22,2011-05-27,2011-05-26,2011-05-06,2011-03-09,2011-03-27,2011-04-01,2011-03-31,2011-03-11
11118,2011,118,32,7,35,11,4,7,5,1,20111008,2011-10-08,2011-07-28,2011-07-03,2011-07-31,2011-07-07,2011-06-30,2011-05-26,2011-05-01,2011-05-29,2011-05-05,2011-04-28
11119,2011,119,26,31,4,20,15,12,6,3,20111010,2011-10-10,2011-12-23,2011-12-28,2011-12-01,2011-12-17,2011-12-12,2011-06-24,2011-06-29,2011-06-02,2011-06-18,2011-06-13
11120,2011,120,20,31,26,30,25,9,10,2,20111012,2011-10-12,2011-09-17,2011-09-28,2011-09-23,2011-09-27,2011-09-22,2011-10-15,2011-10-26,2011-10-21,2011-10-25,2011-10-20
11121,2011,121,3,2,31,33,30,3,9,3,20111015,2011-10-15,2011-03-02,2011-03-01,2011-03-30,2011-04-01,2011-03-29,2011-08-31,2011-08-30,2011-09-28,2011-09-30,2011-09-27
11122,2011,122,8,34,23,3,24,12,5,3,20111017,2011-10-17,2011-12-05,2011-12-31,2011-12-20,2011-11-30,2011-12-21,2011-05-02,2011-05-28,2011-05-17,2011-04-27,2011-05-18
11123,2011,123,35,14,18,10,19,6,1,1,20111019,2011-10-19,2011-07-03,2011-06-12,2011-06-16,2011-06-08,2011-06-17,2011-01-30,2011-01-09,2011-01-13,2011-01-05,2011-01-14
